# Alpine Analytics - Verified Trade History
# Generated: 2025-11-10 19:06:53 UTC
# Period: 2006-01-20 to 2025-11-10
# Total Trades: 4374
# Wins: 1979 (45.2%)
# Losses: 2395
# Total Return: +565.5%
# CAGR: 9.94%
# Max Drawdown: -36.1%
# 
# VERIFICATION INSTRUCTIONS:
# 1. Each row has a unique verification_hash (first 16 chars of SHA-256)
# 2. Full methodology: https://alpineanalytics.com/methodology
# 3. Verification guide: https://alpineanalytics.com/verify
# 4. Report issues: verify@alpineanalytics.com
#
# DISCLAIMER:
# Past performance does not guarantee future results.
# Trading involves substantial risk of loss.
# For educational purposes only. Not financial advice.
#
trade_id,entry_date,exit_date,symbol,entry_price,exit_price,pnl_percent,confidence_score,exit_reason,days_held,verification_hash
1,2006-01-20T00:00:00-05:00,2006-01-23,AAPL,2.28,2.38,4.39,88.2,TARGET,1,b9a19718bae03b09
2,2006-01-20T00:00:00-05:00,2006-01-23,AMD,35.7,34.81,-2.49,91.0,STOP,1,e23d4b77871f3fd3
3,2006-01-20T00:00:00-05:00,2006-02-03,SPY,87.22,87.42,0.23,97.0,TIME,10,58ff75a2b7f5b871
4,2006-01-23T00:00:00-05:00,2006-01-24,GOOGL,10.62,11.05,4.05,93.0,TARGET,1,8380ae63cfc4c485
5,2006-01-23T00:00:00-05:00,2006-02-06,SPY,87.53,87.65,0.14,87.6,TIME,10,dc962e7529b1cd7b
6,2006-01-24T00:00:00-05:00,2006-01-25,AAPL,2.28,2.23,-2.19,87.4,STOP,1,ae2d56b9415c231e
7,2006-01-24T00:00:00-05:00,2006-01-25,AMD,36.77,38.24,4.0,90.4,TARGET,1,ac9c638930faae20
8,2006-01-25T00:00:00-05:00,2006-01-26,AAPL,2.23,2.17,-2.69,88.1,STOP,1,5042babfa5225f31
9,2006-01-25T00:00:00-05:00,2006-02-01,GOOGL,10.76,10.49,-2.51,88.6,STOP,5,dacb40c3617187f0
10,2006-01-25T00:00:00-05:00,2006-02-08,SPY,87.69,87.67,-0.03,90.4,TIME,10,6324c136c521f072
11,2006-01-26T00:00:00-05:00,2006-01-27,AMD,40.41,39.4,-2.5,91.3,STOP,1,d50a920ac96af11f
12,2006-01-26T00:00:00-05:00,2006-01-27,NFLX,4.14,4.04,-2.42,87.8,STOP,1,0ea0b658973557e8
13,2006-01-26T00:00:00-05:00,2006-02-09,SPY,88.18,87.52,-0.75,87.2,TIME,10,ba9fd29c72aad527
14,2006-01-27T00:00:00-05:00,2006-02-01,NFLX,3.97,3.87,-2.52,89.3,STOP,3,0ce41897089e398e
15,2006-01-30T00:00:00-05:00,2006-02-02,AAPL,2.25,2.2,-2.22,88.0,STOP,3,77e3e9526f9fd52a
16,2006-01-30T00:00:00-05:00,2006-02-06,MSFT,19.56,19.07,-2.51,90.5,STOP,5,160bfd48b37fd142
17,2006-01-31T00:00:00-05:00,2006-02-03,MSFT,19.67,19.17,-2.54,88.7,STOP,3,95345d6583e001aa
18,2006-02-02T00:00:00-05:00,2006-02-16,SPY,87.86,89.42,1.78,88.3,TIME,10,39166c8358483d23
19,2006-02-15T00:00:00-05:00,2006-03-02,SPY,88.76,89.56,0.91,87.1,TIME,10,31c88f184bc49185
20,2006-02-16T00:00:00-05:00,2006-02-17,NVDA,0.36,0.38,5.56,98.0,TARGET,1,e1f70e7497731e95
21,2006-02-17T00:00:00-05:00,2006-02-22,NVDA,0.36,0.35,-2.78,98.0,STOP,2,1c233b7396bd8a15
22,2006-02-17T00:00:00-05:00,2006-02-28,AMD,40.33,39.32,-2.5,89.0,STOP,6,c3f5ed37c027605e
23,2006-02-21T00:00:00-05:00,2006-02-22,NVDA,0.35,0.35,0.0,87.2,STOP,1,8bedb52cd162dee4
24,2006-02-22T00:00:00-05:00,2006-02-23,NVDA,0.35,0.35,0.0,91.0,STOP,1,06aa1b30e51ec103
25,2006-02-28T00:00:00-05:00,2006-03-14,SPY,88.78,90.13,1.52,87.2,TIME,10,309c83e4ab7a326a
26,2006-03-03T00:00:00-05:00,2006-03-06,AMD,39.51,38.52,-2.51,98.0,STOP,1,7ec88982d00ed283
27,2006-03-03T00:00:00-05:00,2006-03-17,SPY,89.15,90.8,1.85,87.4,TIME,10,81b13d732b596eb8
28,2006-03-06T00:00:00-05:00,2006-03-07,AMD,39.39,38.41,-2.49,88.3,STOP,1,810b9179dcfdb4e8
29,2006-03-14T00:00:00-05:00,2006-03-28,SPY,90.13,89.82,-0.34,87.1,TIME,10,372740c80ae02949
