2025-10-29 13:13:03,976 - ⚡ Execution engine started at 2025-10-29 13:13:03.976898
2025-10-29 13:13:03,977 - 🛡️ Risk limits: Max pos 15.0%, Day stop -3.0%
2025-10-29 13:13:03,977 - 🚀 ARGO Execution Engine starting signal processing...
2025-10-29 13:13:04,260 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:13:14,274 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:13:24,284 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:13:34,524 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:13:44,546 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:13:54,557 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:14:04,563 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:14:14,497 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:14:24,513 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:14:34,527 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:14:44,545 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:14:54,561 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:15:04,573 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
2025-10-29 13:15:14,597 - ❌ Error processing signals: Received ClickHouse exception, code: 47, server response: Code: 47. DB::Exception: Unknown expression identifier `action` in scope SELECT timestamp, symbol, action, confidence FROM tradingsignals WHERE (action IN ('BUY', 'SELL')) AND (confidence >= 0.75) AND (timestamp > (now() - toIntervalMinute(30))) ORDER BY timestamp DESC, confidence DESC LIMIT 5. (UNKNOWN_IDENTIFIER) (version 25.9.4.58 (official build)) (for url http://localhost:8231)
